date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-17,8.94,9.05,8.58,8.56,105217.94,-0.43,-4.77,8.786,8.58,8.221,85855.84,80359.21,85326.12,2.36
2017-11-16,9.01,9.14,9.01,8.83,64105.42,0.0,0.0,8.75,8.559,8.155,80299.7,78098.11,87335.57,1.44
2017-11-15,8.67,9.08,9.0,8.58,82370.51,0.34,3.93,8.606,8.497,8.086,80619.81,83030.38,91258.82,1.85
2017-11-14,8.7,8.92,8.66,8.58,76573.43,-0.03,-0.34,8.494,8.401,8.008,77902.03,87353.67,97456.24,1.72
2017-11-13,8.43,8.8,8.68,8.4,101011.88,0.29,3.46,8.46,8.326,7.942,77345.28,91115.84,97778.72,2.26
2017-11-10,8.24,8.44,8.4,8.06,77437.27,0.11,1.33,8.374,8.217,7.857,74862.59,87301.68,94631.49,1.73
2017-11-09,8.45,8.45,8.29,8.19,65705.97,-0.15,-1.78,8.368,8.159,7.79,75896.51,88037.59,91908.66,1.47
2017-11-08,8.51,8.68,8.44,8.4,68781.6,-0.05,-0.59,8.388,8.089,7.726,85440.95,86357.15,89884.55,1.54
2017-11-07,8.21,8.55,8.49,8.15,73789.68,0.24,2.91,8.308,8.007,7.657,96805.31,85078.76,87765.85,1.65
2017-11-06,8.34,8.4,8.25,8.03,88598.44,-0.12,-1.43,8.192,7.925,7.587,104886.41,86784.85,85995.93,1.98
2017-11-03,8.42,8.58,8.37,8.23,82606.88,-0.02,-0.24,8.06,7.862,7.523,99740.76,90293.02,82720.04,1.85
2017-11-02,8.06,8.42,8.39,8.0,113428.15,0.35,4.35,7.95,7.751,7.451,100178.66,96573.04,79898.16,2.54
2017-11-01,7.89,8.31,8.04,7.85,125603.42,0.13,1.64,7.79,7.674,7.378,87273.36,99487.26,75101.65,2.81
2017-10-31,7.55,7.97,7.91,7.55,114195.15,0.32,4.22,7.706,7.615,7.325,73352.2,107558.81,69756.51,2.56
2017-10-30,7.75,7.86,7.59,7.52,62870.19,-0.23,-2.94,7.658,7.557,7.276,68683.3,104441.6,65143.51,1.41
2017-10-27,7.62,7.95,7.82,7.55,84796.38,0.23,3.03,7.664,7.496,7.242,80845.28,101961.3,63914.58,1.9
2017-10-26,7.58,7.66,7.59,7.45,48901.64,-0.03,-0.39,7.552,7.42,7.202,92967.41,95779.74,61247.59,1.1
2017-10-25,7.63,7.75,7.62,7.54,55997.63,-0.05,-0.65,7.558,7.363,7.174,111701.16,93411.94,61082.89,1.25
2017-10-24,7.64,7.78,7.67,7.53,90850.64,0.05,0.66,7.524,7.307,7.149,141765.43,90452.94,60255.93,2.04
2017-10-23,7.28,7.62,7.62,7.27,123680.1,0.36,4.96,7.456,7.248,7.12,140199.9,85207.0,58630.85,2.77
2017-10-20,7.33,7.48,7.26,7.24,145407.06,-0.36,-4.72,7.328,7.184,7.095,123077.32,75147.06,55793.52,3.26
2017-10-19,7.4,7.82,7.62,7.35,142570.36,0.17,2.28,7.288,7.151,7.081,98592.07,63223.28,50547.79,3.19
2017-10-18,7.39,7.7,7.45,7.31,206319.0,0.12,1.64,7.168,7.082,7.048,75122.72,50716.04,46974.92,4.62
2017-10-17,7.05,7.33,7.33,7.03,83022.97,0.35,5.01,7.09,7.034,7.02,39140.45,31954.2,37729.88,1.86
2017-10-16,7.05,7.06,6.98,6.95,38067.21,-0.08,-1.13,7.04,6.995,6.997,30214.11,25845.42,35766.63,0.85
2017-10-13,7.02,7.08,7.06,6.98,22980.82,0.04,0.57,7.04,6.988,6.995,27216.8,25867.86,35925.38,0.51
2017-10-12,7.0,7.09,7.02,6.98,25223.62,-0.04,-0.57,7.014,6.983,6.992,27854.48,26715.44,36467.66,0.57
2017-10-11,7.07,7.1,7.06,7.01,26407.62,-0.02,-0.28,6.996,6.984,6.989,26309.35,28753.85,37392.53,0.59
2017-10-10,6.98,7.14,7.08,6.95,38391.28,0.1,1.43,6.978,6.991,6.984,24767.96,30058.93,37727.01,0.86
2017-10-09,6.94,7.0,6.98,6.92,23080.65,0.05,0.72,6.95,6.992,6.98,21476.72,32054.71,39299.03,0.52
2017-09-29,6.93,6.95,6.93,6.85,26169.22,0.0,0.0,6.936,7.005,6.971,24518.91,36439.99,41148.05,0.59
2017-09-28,6.96,7.01,6.93,6.91,17498.0,-0.04,-0.57,6.952,7.01,6.97,25576.39,37872.31,42243.4,0.39
2017-09-27,6.93,6.99,6.97,6.92,18700.63,0.03,0.43,6.972,7.014,6.974,31198.34,43233.8,43678.13,0.42
2017-09-26,6.92,6.97,6.94,6.88,21935.11,0.03,0.43,7.004,7.005,6.975,35349.9,43505.56,45307.07,0.49
2017-09-25,7.0,7.02,6.91,6.83,38291.61,-0.1,-1.43,7.034,6.998,6.977,42632.69,45687.85,47773.53,0.86
2017-09-22,7.04,7.06,7.01,6.99,31456.61,-0.02,-0.28,7.074,7.002,6.976,48361.07,45982.9,48300.16,0.7
2017-09-21,7.13,7.17,7.03,7.02,45607.73,-0.1,-1.4,7.068,7.0,6.97,50168.23,46219.89,50442.9,1.02
2017-09-20,7.09,7.14,7.13,7.02,39458.45,0.04,0.56,7.056,6.993,6.963,55269.26,46031.22,54011.91,0.88
2017-09-19,7.09,7.26,7.09,7.07,58349.04,-0.02,-0.28,7.006,6.976,6.943,51661.22,45395.08,54441.32,1.31
2017-09-18,6.97,7.12,7.11,6.94,66933.51,0.13,1.86,6.962,6.967,6.923,48743.01,46543.36,54581.73,1.5
2017-09-15,6.97,7.04,6.98,6.93,40492.43,0.01,0.14,6.93,6.936,6.909,43604.73,45856.11,53463.88,0.91
2017-09-14,6.88,7.14,6.97,6.83,71112.86,0.09,1.31,6.932,6.93,6.898,42271.55,46614.49,55179.29,1.59
