date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-17,6.51,6.51,6.18,6.18,44169.9,-0.33,-5.07,6.466,6.588,6.837,27857.41,23756.36,28576.87,0.68
2017-11-16,6.49,6.57,6.51,6.48,27219.75,0.01,0.15,6.574,6.632,6.892,22660.9,24840.3,27781.52,0.42
2017-11-15,6.48,6.51,6.5,6.44,18867.67,-0.01,-0.15,6.618,6.663,6.93,20095.62,27030.93,29126.65,0.29
2017-11-14,6.63,6.63,6.51,6.46,28412.4,-0.12,-1.81,6.664,6.714,6.978,19799.34,26942.3,30066.81,0.44
2017-11-13,6.71,6.71,6.63,6.6,20617.32,-0.09,-1.34,6.704,6.769,7.028,19189.25,26237.0,30718.78,0.32
2017-11-10,6.7,6.75,6.72,6.66,18187.38,-0.01,-0.15,6.71,6.805,7.074,19655.31,29175.06,33348.8,0.28
2017-11-09,6.72,6.74,6.73,6.69,14393.34,0.0,0.0,6.69,6.856,7.125,27019.7,30370.55,36725.13,0.22
2017-11-08,6.71,6.78,6.73,6.66,17386.24,0.02,0.3,6.708,6.91,7.186,33966.23,31883.85,43137.74,0.27
2017-11-07,6.67,6.74,6.71,6.63,25361.99,0.05,0.75,6.764,6.966,7.249,34085.26,32683.84,53572.31,0.39
2017-11-06,6.63,6.66,6.66,6.54,22947.62,0.04,0.6,6.834,7.023,7.294,33284.74,33676.42,56002.0,0.35
2017-11-03,6.82,6.82,6.62,6.53,55009.32,-0.2,-2.93,6.9,7.086,7.344,38694.81,33397.38,64964.65,0.85
2017-11-02,7.0,7.03,6.82,6.72,49126.0,-0.19,-2.71,7.022,7.152,7.374,33721.4,30722.75,62876.78,0.76
2017-11-01,7.06,7.08,7.01,7.0,17981.35,-0.05,-0.71,7.112,7.196,7.395,29801.46,31222.37,61108.73,0.28
2017-10-31,6.99,7.06,7.06,6.99,21359.4,0.07,1.0,7.168,7.241,7.41,31282.43,33191.32,61117.51,0.33
2017-10-30,7.23,7.23,6.99,6.99,49998.0,-0.24,-3.32,7.212,7.286,7.424,34068.1,35200.56,61712.91,0.77
2017-10-27,7.26,7.28,7.23,7.19,30142.26,-0.04,-0.55,7.272,7.342,7.434,28099.94,37522.53,60367.01,0.47
2017-10-26,7.3,7.31,7.27,7.24,29526.28,-0.02,-0.27,7.282,7.394,7.437,27724.09,43079.7,60114.17,0.46
2017-10-25,7.28,7.32,7.29,7.25,25386.22,0.01,0.14,7.28,7.461,7.442,32643.28,54391.63,60167.26,0.39
2017-10-24,7.29,7.31,7.28,7.21,35287.73,-0.01,-0.14,7.314,7.531,7.449,35100.2,74460.78,60636.84,0.55
2017-10-23,7.27,7.31,7.29,7.26,20157.22,0.01,0.14,7.36,7.564,7.455,36333.03,78327.58,60424.2,0.31
2017-10-20,7.26,7.31,7.28,7.22,28263.0,0.02,0.28,7.412,7.602,7.46,46945.11,96531.92,60760.76,0.44
2017-10-19,7.46,7.49,7.26,7.2,54122.21,-0.2,-2.68,7.506,7.596,7.464,58435.31,95030.82,60530.01,0.84
2017-10-18,7.5,7.57,7.46,7.45,37670.85,-0.05,-0.67,7.642,7.594,7.469,76139.98,90995.1,59806.04,0.58
2017-10-17,7.51,7.59,7.51,7.49,41451.85,-0.04,-0.53,7.748,7.579,7.463,113821.35,89043.71,60032.9,0.64
2017-10-16,7.65,7.72,7.55,7.53,73217.65,-0.2,-2.58,7.768,7.562,7.457,120322.13,88225.26,59577.85,1.13
2017-10-13,7.87,7.98,7.75,7.73,85714.01,-0.19,-2.39,7.792,7.525,7.452,146118.72,83211.49,57037.56,1.33
2017-10-12,7.88,8.14,7.94,7.72,142645.56,-0.05,-0.63,7.686,7.479,7.436,131626.32,77148.64,54082.3,2.21
2017-10-11,7.69,8.22,7.99,7.61,226077.69,0.38,4.99,7.546,7.423,7.411,105850.21,65942.89,48746.18,3.5
2017-10-10,7.55,7.65,7.61,7.52,73955.76,-0.06,-0.78,7.41,7.366,7.382,64266.07,46812.91,38650.35,1.14
2017-10-09,7.51,7.8,7.67,7.51,202200.59,0.45,6.23,7.356,7.345,7.373,56128.38,42520.81,36360.23,3.13
2017-09-29,7.24,7.29,7.22,7.21,13252.01,-0.02,-0.28,7.258,7.317,7.361,20304.26,24989.6,27875.15,0.2
2017-09-28,7.31,7.33,7.24,7.24,13765.0,-0.07,-0.96,7.272,7.331,7.373,22670.97,26029.21,30140.33,0.21
2017-09-27,7.31,7.37,7.31,7.27,18157.0,-0.03,-0.41,7.3,7.344,7.382,26035.57,28616.98,31121.99,0.28
2017-09-26,7.16,7.35,7.34,7.13,33267.31,0.16,2.23,7.322,7.346,7.387,29359.75,31022.08,31719.25,0.51
