date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-17,57.75,61.0,56.88,56.0,52551.97,-1.37,-2.35,57.604,56.017,54.799,54883.25,45818.88,44773.56,24.16
2017-11-16,59.63,60.5,58.26,57.88,46734.48,-2.34,-3.86,56.7,55.66,54.632,50241.83,43667.8,46259.56,21.49
2017-11-15,57.27,62.5,60.68,56.88,68385.55,3.18,5.53,55.826,55.333,54.559,47964.83,43000.47,48803.87,31.44
2017-11-14,56.0,59.88,57.58,56.0,70214.43,3.08,5.65,54.8,54.81,54.488,42545.68,40933.65,52334.71,32.28
2017-11-13,52.5,54.63,54.62,52.5,36529.84,2.23,4.26,54.56,54.423,54.473,38700.78,37111.94,55374.91,16.8
2017-11-10,53.31,53.78,52.36,52.27,29344.84,-1.55,-2.88,54.43,54.079,54.421,36754.51,36935.14,54054.05,13.49
2017-11-09,54.21,54.79,53.89,52.98,35349.51,-1.66,-2.99,54.62,54.263,54.238,37093.77,38370.7,54559.88,16.25
2017-11-08,56.29,56.68,55.55,55.03,41289.79,-0.83,-1.47,54.84,54.186,53.757,38036.11,38432.84,53545.11,18.98
2017-11-07,53.6,56.8,56.38,52.96,50989.91,2.41,4.46,54.82,53.924,53.151,39321.61,37990.32,52384.92,23.44
2017-11-06,53.5,55.0,53.97,52.6,26798.51,0.86,1.62,54.286,53.472,52.523,35523.1,38845.34,50479.0,12.32
2017-11-03,55.28,55.98,53.31,52.6,31041.12,-1.68,-3.06,53.728,53.581,51.951,37115.78,43728.23,49503.02,14.27
2017-11-02,55.0,55.95,54.99,54.2,40061.21,-0.46,-0.83,53.906,53.603,51.374,39647.62,48851.33,48188.99,18.42
2017-11-01,53.46,55.93,55.45,53.01,47717.29,1.74,3.24,53.532,53.785,50.701,38829.57,54607.27,46505.08,21.94
2017-10-31,50.9,53.98,53.71,50.8,31997.35,2.53,4.94,53.028,54.165,50.008,36659.03,63735.78,44365.53,14.71
2017-10-30,53.35,53.77,51.18,50.5,34761.91,-3.02,-5.57,52.658,54.522,49.389,42167.59,73637.88,43418.86,15.98
2017-10-27,52.6,54.65,54.2,52.21,43700.36,1.08,2.03,53.434,54.762,48.984,50340.69,71172.96,42359.48,20.09
2017-10-26,52.96,53.55,53.12,51.0,35970.95,0.19,0.36,53.3,54.213,48.481,58055.04,70749.06,40948.76,16.54
2017-10-25,52.2,53.55,52.93,51.71,36864.59,1.07,2.06,54.038,53.329,48.018,70384.96,68657.38,40096.94,16.95
2017-10-24,53.89,53.92,51.86,50.1,59540.14,-3.2,-5.81,55.302,52.377,47.537,90812.54,66779.51,38652.85,27.37
2017-10-23,53.59,57.46,55.06,53.07,75627.39,1.53,2.86,56.386,51.573,47.089,105108.17,62112.66,36221.44,34.77
2017-10-20,55.22,55.5,53.53,52.18,82272.11,-3.28,-5.77,56.09,50.321,46.529,92005.22,55277.81,33174.47,37.83
2017-10-19,54.9,57.86,56.81,54.5,97620.59,-2.44,-4.12,55.126,49.145,46.026,83443.08,47526.66,29731.23,44.88
2017-10-18,56.95,63.01,59.25,56.81,139002.45,1.97,3.44,52.62,47.617,45.3,66929.79,38402.89,25160.93,63.91
2017-10-17,57.15,58.94,57.28,55.66,131018.33,3.7,6.91,49.452,45.851,44.455,42746.49,24995.27,18464.08,60.24
2017-10-16,53.58,53.58,53.58,53.58,10112.64,4.87,10.0,46.76,44.256,43.699,19117.14,13199.83,12473.36,4.65
2017-10-13,45.97,48.71,48.71,45.01,39461.41,4.43,10.01,44.552,43.206,43.186,18550.4,13546.01,12509.72,18.14
2017-10-12,43.48,44.3,44.28,43.0,15054.14,0.87,2.0,43.164,42.748,42.862,11610.23,11148.47,10901.91,6.92
2017-10-11,43.79,45.15,43.41,43.1,18085.94,-0.41,-0.94,42.614,42.707,42.771,9875.98,11536.5,10981.06,8.32
2017-10-10,42.42,44.01,43.82,42.42,12871.55,1.28,3.01,42.25,42.696,42.69,7244.04,10526.19,10740.63,5.92
2017-10-09,42.67,42.85,42.54,42.03,7278.94,0.77,1.84,41.752,42.604,42.628,7282.53,10330.24,10793.03,3.35
2017-09-29,41.53,42.4,41.77,41.53,4760.57,0.24,0.58,41.86,42.737,42.67,8541.61,11071.14,11124.01,2.19
2017-09-28,41.72,42.19,41.53,41.3,6382.88,-0.06,-0.14,42.332,42.907,42.742,10686.7,11935.8,11711.45,2.93
2017-09-27,41.0,41.8,41.59,40.8,4926.28,0.26,0.63,42.8,42.982,42.838,13197.02,11918.98,12441.2,2.26
2017-09-26,43.15,43.44,41.33,41.15,13063.96,-1.75,-4.06,43.142,43.059,42.903,13808.34,11932.9,14099.02,6.01
2017-09-25,44.0,44.67,43.08,43.02,13574.38,-1.05,-2.38,43.456,43.142,43.086,13377.94,11746.89,16705.38,6.24
2017-09-22,43.88,44.3,44.13,43.02,15486.01,0.26,0.59,43.614,43.166,43.08,13600.66,11473.44,16398.81,7.12
2017-09-21,43.01,44.4,43.87,43.01,18934.45,0.57,1.32,43.482,42.975,42.827,13184.9,10655.36,16162.76,8.71
2017-09-20,42.4,43.55,43.3,42.4,7982.88,0.4,0.93,43.164,42.835,42.573,10640.95,10425.63,15928.63,3.67
2017-09-19,43.72,43.88,42.9,42.83,10912.0,-0.97,-2.21,42.976,42.684,42.332,10057.46,10955.07,16043.64,5.02
2017-09-18,43.29,43.9,43.87,42.92,14687.98,0.4,0.92,42.828,42.651,42.095,10115.84,11255.82,16025.4,6.75
2017-09-15,42.3,43.56,43.47,42.02,13407.21,1.19,2.81,42.718,42.603,41.846,9346.21,11176.87,15822.71,6.16
2017-09-14,42.2,42.64,42.28,42.08,6214.67,-0.08,-0.19,42.468,42.577,41.538,8125.81,11487.1,15405.26,2.86
2017-09-13,42.1,42.57,42.36,42.02,5065.44,0.2,0.47,42.506,42.693,41.305,10210.3,12963.42,15335.21,2.33
2017-09-12,43.31,43.45,42.16,42.07,11203.92,-1.16,-2.68,42.392,42.746,41.073,11852.67,16265.15,15441.69,5.15
2017-09-11,42.68,43.49,43.32,42.42,10839.81,1.1,2.6,42.474,43.029,40.813,12395.79,21663.86,15074.69,4.98
2017-09-08,42.13,42.88,42.22,42.06,7305.2,-0.25,-0.59,42.488,42.994,40.487,13007.54,21324.19,14714.35,3.36
2017-09-07,42.1,43.5,42.47,42.1,16637.15,0.68,1.63,42.686,42.678,40.19,14848.39,21670.17,14570.0,7.65
2017-09-06,42.57,42.68,41.79,41.3,13277.27,-0.78,-1.83,42.88,42.31,39.885,15716.54,21431.64,14051.95,6.1
2017-09-05,43.42,43.59,42.57,42.54,13919.5,-0.82,-1.89,43.1,41.98,39.654,20677.63,21132.22,13578.9,6.4
2017-09-04,43.5,44.25,43.39,43.21,13898.56,0.18,0.42,43.584,41.539,39.398,30931.93,20794.98,13078.77,6.39
2017-09-01,43.6,43.88,43.21,43.01,16509.48,-0.23,-0.53,43.5,41.089,39.109,29640.84,20468.55,12700.65,7.59
2017-08-31,42.63,43.7,43.44,42.55,20977.88,0.55,1.28,42.67,40.498,38.813,28491.95,19323.42,12186.49,9.65
2017-08-30,44.1,44.29,42.89,42.07,38082.71,-2.1,-4.67,41.74,39.918,38.507,27146.75,17707.0,11530.05,17.51
2017-08-29,44.0,46.6,44.99,43.26,65191.02,2.02,4.7,40.86,39.399,38.198,21586.8,14618.23,10338.87,29.97
2017-08-28,42.97,42.97,42.97,42.97,7443.1,3.91,10.01,39.494,38.597,37.855,10658.03,8485.53,7436.56,3.42
2017-08-25,38.7,39.09,39.06,38.2,10765.03,0.27,0.7,38.678,37.98,37.604,11296.26,8104.51,7522.22,4.95
2017-08-24,38.49,39.46,38.79,38.28,14251.87,0.3,0.78,38.326,37.701,37.564,10154.89,7469.83,7782.44,6.55
2017-08-23,38.17,38.65,38.49,38.1,10283.0,0.33,0.86,38.096,37.46,37.585,8267.25,6672.26,8135.32,4.73
2017-08-22,38.0,38.47,38.16,37.9,10547.17,-0.73,-1.88,37.938,37.328,37.589,7649.65,6025.59,8053.82,4.85
2017-08-21,37.32,38.97,38.89,37.3,10634.25,1.59,4.26,37.7,37.257,37.641,6313.02,5362.56,7796.65,4.89
2017-08-18,37.6,37.77,37.3,37.1,5058.17,-0.34,-0.9,37.282,37.128,37.658,4912.76,4932.75,7786.9,2.33
